Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	LWIFQPLWFSTHEL	C(CC1(C(C(CO1)(C)O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.631	-0.341	5	3	86.99	0.30235
G4	GXOWJUAFVHVXLN	C(CC1(COC(CO)(C1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.7056	-0.233	5	3	86.99	-5.1873
G4	QPAIRPMTVSLVNK	C(C)(C1C(CC(CO)(O1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.5929	-0.446	5	3	86.99	-3.0473
G4	HHJAQRKTDFDRGD	C(CC1(COC(C)(C1O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.631	-0.341	5	3	86.99	0.2473
G4	TWHGAJCFZWGCCK	C(C)(C1C(CO)(CC(O1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.5592	-0.308	5	3	86.99	-2.9454
G4	SNTPJQALTNHVGS	C(CC1(COC(C1N)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.2931	-0.17	5	3	92.78	-1.4894
G4	SDNUOSRGIAWFFG	C(C(C1(CC(CO1)(C)O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.8007	-0.341	5	3	86.99	-0.23425
G4	NVPLCHDTDNDQHL	C(C1C(C)(CC(CO)(O1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.8353	-0.341	5	3	86.99	-4.79
G4	YQMLBHROJKMKBM	C(C)(C1C(C(C(C)(O1)O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.5183	-0.554	5	3	86.99	-0.38828
G4	IPPDOVSAPWBLQB	C(C1C(C)(C(C(C)(O1)O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.7607	-0.449	5	3	86.99	0.063333
G4	IRPABGYOGPXXIG	C(C)(C1C(C)(C(C(O1)O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.4846	-0.416	5	3	86.99	2.3294
G4	RPRJDHMZIQDEPQ	C(C1C(C)(C(C(O1)O)N)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4228	-0.278	5	3	92.78	-2.873
G4	OTYWFDMOLZGCKN	C1C(C)(CC(C(CO)O)(O)O1)O	178.084123548	C7H14O5	7	14	5.0	-1.5884	-0.126	5	4	90.15	1.8023
G4	NDUHPTBIICEZKI	CC1(CC(CO)(O)OC1CO)O	178.084123548	C7H14O5	7	14	5.0	-1.623	-0.126	5	4	90.15	-2.7171
G4	HDRFSQXLEXROQM	CC1(C(C(C)(C(CO)O1)O)O)O	178.084123548	C7H14O5	7	14	5.0	-1.5484	-0.234	5	4	90.15	1.8866
G4	AEOKWIWSJJVOHE	CC1(CC(O)OC1CO)O	148.073558864	C6H12O4	6	12	4.0	-0.9606	-0.386	4	3	69.92	0.30315
G4	BTNCZVRDPBCGFA	CC1(C(CO)OC(C1N)O)O	163.084457896	C6H13NO4	6	13	4.0	-2.2105	-0.063	5	4	95.94	-1.0686
G4	KXFBRJBQTIGNOS	C(CO)(C1C(C)OC(C1O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.5879	-0.359	5	3	86.99	1.6727
G4	LGLZOZWFLLGEHN	C(CO)(CC1C(CC(O)O1)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.4028	-0.469	5	3	86.99	-2.8605
G4	LVRTYXIWOYDNTQ	C(CC1C(CC(CO)(O)O1)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.6789	-0.502	5	3	86.99	-5.953
G4	SNGFGUBNZSGONN	C(C(CC1(COC(C1)O)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.6106	-0.364	5	3	86.99	-2.6675
G4	OIEOLKOZFZWGBR	C(CC1(CO)CC(C(O)O1)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.6452	-0.364	5	3	86.99	-6.6863
