Generation	Inchi	Smiles
G3	UFYGCFHQAXXBCF	C(C(CCO)O)(O)=O
G3	KUSWJOPOFIZCSN	C(CC(C(O)=O)O)(CCO)=O
G3	ICELZWMGQRGTFX	C(C(CCC(CO)=O)O)(O)=O
G3	LZWYDLFSHVJXCF	C(C(CC(C(C)=O)O)O)(O)=O
G3	SLLURUDMWUFLKC	C(CC(CC(C(O)=O)O)O)=O
G3	FWTFAZWTXINKAL	C(C(CCO)(CC=O)O)(O)=O
G3	PUJKYDSEIJLNGJ	C(C(C)(CC(C=O)O)O)(O)=O
G3	PEPJGLGUVINFJT	C(C(C=CC(CO)O)O)(O)=O
G3	HVTGQMWTDDUILK	C(CO)(C(CN)O)=O
G3	YVXXPGROVYTBAL	C(C(CC(CO)=O)O)(O)=O
G3	HDGNQJMIIPXNJZ	C(C(C(C(C)=O)O)O)(O)=O
G3	JYPFTOPPKDHQEW	C(C(C(C=O)O)O)(O)=O
G3	VPNBLFIVNKFHGY	C(C)(C(CO)(C(C=O)O)O)=O
G3	QJEBIWGZDFAUAU	C1(C(C(C(CO)C1O)O)O)=O
G3	SABLHQLUOCAHMV	C(C(C(CO)O)=O)(CCO)=O
G3	GYSCUAORHOFYBL	C(C(CO)=O)(C(CCO)O)=O
G3	OUJNZICMUOLQGP	C(C(C(C(CCO)O)O)=O)=O
G3	TXOVMBDXFHTOKH	C(C(CO)O)(C(C(C)=O)O)=O
G3	PLFONWSYZWJLGP	C(C(C)O)(C(C(CO)=O)O)=O
G3	BHIQKDNSGQRBRS	C(C(C(C(C(C)O)O)=O)O)=O
G3	RFTHSMAPWRIBGB	C(CC(C(C(CO)=O)O)N)=O
G3	LBSWPIIXJVENJX	C(CO)(C(CC(CN)=O)O)=O
G3	XYVWFGWOGXGWEW	C(CO)(C(CC(CO)=O)N)=O
G3	MQOIIDLQBLKSJB	C(C(CC(C(C=O)O)N)O)=O
G3	CYYDRPQLYOGXNF	C(C(C(CN)O)=O)(CCO)=O
G3	RLEACPXWXGVCIY	C(C(CN)=O)(C(CCO)O)=O
G3	XICDAJGFNFDKNY	C(C(CO)=O)(C(CCO)N)=O
G3	FKQDVKIYSLALDL	C(C(C(C(CCO)N)O)=O)=O
G3	APSVCGFBKMNGFG	C(C(CN)O)(CC(CO)=O)=O
G3	IWQVOQJITVWGNM	C(C(CC(C(CN)=O)O)O)=O
G3	FZWXNVBNIUHICE	C(C(CC(C(CO)=O)O)N)=O
G3	KFPHBTRJOUDHES	C(C(CN)O)(C(C(C)=O)O)=O
G3	IPTQYDMFVRDNRC	C(C(C)O)(C(C(CN)=O)O)=O
G3	QGBOPSNKMRUVJT	C(C(C)N)(C(C(CO)=O)O)=O
G3	SGYNUDGAOQZSCY	C(C(C(C(C(C)N)O)=O)O)=O
G3	ILMZHZLCMSJGEZ	C(CC(C(C(CN)O)=O)O)=O
G3	KDSPLKNONIUZSZ	C(C(CC(C(CO)O)O)O)=O
G3	DWRCPJZTWDRHQM	C(C(CCO)O)(C(CO)O)=O
G3	UQZTYCQHZBCWQZ	C(CO)(C(CC(CO)O)O)=O
G3	UCLAXLMTPFNPGE	C(C(C(CO)O)O)(C(C)O)=O
G3	XHRNJZRZXZGBMY	C(CO)(C(C(CCO)O)O)=O
G3	IJSMKXBGOVFUMR	C(C(CO)N)(CC(CO)=O)=O
G3	HQHHOHPUFRRQRY	C(CCO)(C(C(CO)=O)N)=O
G3	FCRVERXJFBCXEH	C(C)(C(C(C(CO)=O)O)N)=O
G3	FFLOKKOCDOKDOG	C(C(C(C=O)O)N)(C(C)O)=O
