SMILES tag	Canonical Code
C(=O)(C)[C@@H]([C@H](C(=O)[C@@H](C)O)O)N([H])[H]	100b844dcda50541
C12=C([C@H]([C@H](C1)O)O)[C@H](OC2)O[H]	100b940bdf050421
C12=C([C@H]([C@H](C1)O)O[H])[C@H](OC2)O	100b940bdf050421
C12=C([C@H]([C@H](C1)O[H])O)[C@H](OC2)O	100b940bdf050421
C(=O)([C@@H]([C@H]1C[C@H]([C@@H](O1)N([H])[H])C)O)O	100bb5a032f4f5a7
C1(=C)[C@](C=O)([C@H](C[C@H](O1)O[H])O)O	100bb6b86f841f40
C(=C(\C)/[C@H](C[C@H](C(=O)O)O)O)/N([H])[H]	100bbc033d0ddc03
C(=C\[C@@H](C[C@H](OC)N([H])[H])O)/CO	100bccd706562c20
C=C([C@@]1(COC[C@@]1(C=O)O)O)N([H])[H]	100bcf452ea742a1
C1(=C([C@@H]([C@@H](OC1)O)O)O[H])C=C	100bd7c42e40b35a
C1(=O)[C@@H](CC[C@H](CO[C@@H]1O)N([H])[H])O	100bd9bee9e8a6f3
[C@@H]1([C@@H]([C@H](C)O[C@@H]1CO)N([H])[H])CO	100bf3e44f20e782
C1[C@@H]([C@@H]([C@@H]([C@H]1OCO[H])O)O)O	100bfae0e1902c29
C1[C@H]([C@@H](O[C@@H]1CO[C@H](C)O[H])O)O	100bfc47f4b434c4
C=C[C@H]([C@@H](C(=O)O)OCCO)O[H]	100c0ed7993bc3c9
C=C[C@H]([C@@H](C(=O)O)OCCO[H])O	100c0ed7993bc3c9
C=C[C@H]([C@@H](C(=O)O[H])OCCO)O	100c0ed7993bc3c9
C1=C([C@H]([C@@H]([C@@]1(CO)N([H])[H])O)O)C	100c1791ba6abe76
C1(=O)[C@@H]2[C@](C[C@H]([C@H]1O)O2)(CN([H])[H])O	100c19616cf39d73
C1[C@@H]2[C@@](C[C@@H](O2)N([H])[H])([C@H]([C@H]1O)O)O	100c1f537fadd75a
C=C[C@H](CO)[C@H](C(=O)CO)O[H]	100c26739605145d
C=C[C@H](CO)[C@H](C(=O)CO[H])O	100c26739605145d
C=C[C@H](CO[H])[C@H](C(=O)CO)O	100c26739605145d
C(=C\N([H])[H])\[C@](C=O)([C@H](C)O)O	100c29920eb2aadc
C(=O)([C@@]1(CC[C@@]([C@@H]1O)(C)O)O)O[H]	100c39f3c79b1130
C(=O)([C@@]1(CC[C@@]([C@@H]1O)(C)O)O[H])O	100c39f3c79b1130
C(=O)([C@@]1(CC[C@@]([C@@H]1O)(C)O[H])O)O	100c39f3c79b1130
C(=O)([C@@]1(CC[C@@]([C@@H]1O[H])(C)O)O)O	100c39f3c79b1130
