Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	ZZXLEJIKKHORGF	C(C1(C(C(CO1)O)O)O)=O	148.037173356	C5H8O5	5	8	5.0	-2.3834	0.038	5	3	86.99	-5.4764
G4	NHASTJNPGYJMIU	C(C1(COC(C1O)O)N)=O	147.053157768	C5H9NO4	5	9	4.0	-2.7475	0.1	5	3	92.78	-1.9419
G4	ODTDRYZQZKBGRJ	C(C1(COC(C1(C)O)O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4495	-0.009	5	3	92.78	-2.5917
G4	QYLDDXPKKHYUDO	C1C(C(C(O)O1)(C(C)O)N)O	163.084457896	C6H13NO4	6	13	4.0	-2.1759	-0.063	5	4	95.94	-2.3977
G4	MCVGCLXJYVPGHY	C(C1(CN)C(CC(O1)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4974	-0.17	5	3	92.78	-2.715
G4	XIDULHVIKPDVII	C1C(C(C(O)O1)(C(C)O)O)N	163.084457896	C6H13NO4	6	13	4.0	-2.1759	-0.063	5	4	95.94	-0.43022
G4	VMXYFFQICSQARG	C(C1(COC(C1O)O)O)=O	148.037173356	C5H8O5	5	8	5.0	-2.3497	0.176	5	3	86.99	-2.0189
G4	WPQDIHBVXJNACK	C(C1(CO)C(CC(O1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0996	-0.094	5	3	86.99	-3.4131
G4	CNVMDMVNMGDDBX	C(C1(COC(C1(C)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0517	0.067	5	3	86.99	-0.3902
G4	KKSKDVAZHJYOIJ	C(C1(COC(C)(C1O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0854	-0.071	5	3	86.99	-0.30401
G4	INKHWIYDHMSDMO	C1C(C(C(O)O1)(C(C)O)O)O	164.068473484	C6H12O5	6	12	5.0	-1.7781	0.013	5	4	90.15	-1.8433
G4	ORDMLOFWZQDICE	C1C(C(C(O)O1)(CO)N)O	149.068807832	C5H11NO4	5	11	4.0	-2.5352	0.315	5	4	95.94	-1.1646
G4	HYVPQWFGYOOZRG	C1C(C(C(O)O1)(CO)O)N	149.068807832	C5H11NO4	5	11	4.0	-2.5352	0.315	5	4	95.94	-0.2604
G4	RCSJTYXNJNIRAA	C(C1(C(C)(O)OCC1O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0854	-0.071	5	3	86.99	-2.13
G4	FDAZPFVHXASYAM	C1C(C(C(O)O1)(CN)O)O	149.068807832	C5H11NO4	5	11	4.0	-2.5352	0.315	5	4	95.94	-1.4909
G4	DMNBIOSWOQUIRB	C(C1(C(CN)OC(C1)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.4974	-0.17	5	3	92.78	-3.4137
G4	ARZAXRVZOKSZSH	C(C1C(CC(O1)O)O)(O)=O	148.037173356	C5H8O5	5	8	5.0	-1.6082	-0.259	5	3	86.99	-1.455
G4	LEYVRCZGYVTJIM	C(C1(C(CO)OC(C1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0996	-0.094	5	3	86.99	-4.2124
G4	RVQWMQLGLOKGDD	C(C1(COC(CO)(C1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.16	0.037	5	3	86.99	-6.3099
G4	DONPUMGGARYEMQ	C(C1(CC(CO1)O)O)(O)=O	148.037173356	C5H8O5	5	8	5.0	-1.6686	-0.128	5	3	86.99	-0.30481
G4	CKTSPAXEVIBYFI	C(C1C(C(C(O)O1)O)N)O	149.068807832	C5H11NO4	5	11	4.0	-2.5085	0.046	5	4	95.94	0.26014
