Generation	Inchi	Smiles
G3	DITJJUUJVMSKPO	C(CNCCO)(C(CO)N)=O
G3	FFFDQOZJOWKGJX	C(CNCC(CN)=O)(O)=O
G3	MWAVKYSZWLNOTO	C(CNCC(O)=O)(C(CO)N)=O
G3	CSXVHWQAIQUYCR	C(C(CNCC(CN)=O)O)=O
G3	GCKJGOBNIHLMDF	C(CN)(C(CN)O)=O
G3	UIKULCRCTCWVMN	C(CO)(C(CNCC=O)N)=O
G3	GUZLEIWFORGFKN	C(CO)(C(CN)N)=O
G3	GFWPPSOBTSFMCO	C(CNC(C(CN)=O)CO)=O
G3	VIXZLXUEUNVHID	C(CN)(C(CO)N)=O
G3	BUFAGBTWFUCFMU	C(CO)(CNCC(CO)=O)=O
G3	WMAWUYGJPNBUQG	C(CO)(CNCCO)=O
G3	WKMZZYMHPNDCQD	C(CNCC(CO)=O)(O)=O
G3	LMXRVJUGGJXBPL	C(C(CNCC(CO)=O)O)=O
G3	RFCCAHHFHGOKIP	C(CNCCO)(C(CO)O)=O
G3	DITRGZRJMYHJGN	C(CNCC(O)=O)(C(CO)O)=O
G3	GTVWKZXSTSBFGC	C(CNCC=O)(C(CN)O)=O
G3	QTDGYLRDGBGVQW	C(CNC(C(CO)=O)CN)=O
G3	MAHYCVYRGZNDCE	C(CNCC=O)(C(CO)N)=O
G3	OOJJPSMERBMANE	C(C(C(CNCC=O)O)O)(O)=O
G3	VMWHZZCFIPURJF	C(C(C(C(CO)N)O)O)O
G3	FQORWEQXRQVPBZ	C(C(C(C(C(CO)N)O)O)O)O
G3	XZXHZMMPPLVBHM	C(C(C(CN)O)N)O
G3	KJJPLEZQSCZCKE	C(C(CO)N)O
G3	WIFPJDJJFUSIFP	C(C(C(CN)O)O)O
G3	PMLGQXIKBPFHJZ	C(C(C(CO)O)N)O
G3	GRJYCUXQJJMRKX	C(C(CO)(C(CN)O)O)O
G3	KQAJPNNQNURMRU	C(C(C(CO)O)(C(CN)O)O)O
G3	RHMGIDQVAMTKJW	C(CNCC(CO)O)=O
G3	IGQRCNKKLSTBMG	C(C(CNCCO)O)=O
G3	LVYNGMWZWZXHKP	C(CNC(CO)C(CO)O)=O
G3	AMMDEUXMKPKYAJ	C(C(C(CO)NCCO)O)=O
G3	KQIGMPWTAHJUMN	C(C(CN)O)O
G3	LYCRDZDACLCUCZ	C(C(C(C(CO)O)O)N)(O)=O
G3	ACWKOLUJJZRCNF	C(C(C(CN)O)N)(O)=O
G3	MTCFGRXMJLQNBG	C(C(CO)N)(O)=O
G3	JBNUARFQOCGDRK	C(C(C(CO)O)N)(O)=O
G3	WAFGDZATQJVQRP	C(C(CO)(C(CN)O)O)(O)=O
G3	FDUDNAAWAZGESB	C(C(CNCC=O)O)(O)=O
G3	KJKQEYBTNQZQHS	C(C(CNCC(O)=O)O)=O
G3	BWDKXDOHBSDQPX	C(C(C(CO)NCC=O)O)(O)=O
G3	ZAJBKAIYTUVMJY	C(C(C(CO)NCC(O)=O)O)=O
G3	BMYNFMYTOJXKLE	C(C(CN)O)(O)=O
G3	MLDBXFQIDVIWHU	C(C(C(CO)N)O)(O)=O
G3	LEROCUWPQFUSCC	C1(CNCC(C1(CO)O)O)=O
G3	ZKFJPLYHZMLDRQ	C(C1(CNCC1O)O)=O
G3	KIIQCDRRMPNBFF	C(C1(C(CNC1CO)O)O)=O
G3	BKNVTHFMXSGRGJ	C(C(C(CN)O)(C(C=O)O)N)=O
G3	QJYFJSSCWWJNBK	C(C(C(CN)O)(C(C)O)N)=O
G3	XVZUXBQZZZXCMK	C(C(CO)(C(C(CO)N)O)N)=O
G3	MKIUQSMSVAUTKI	C(C(CO)(C(C=O)O)N)=O
G3	QVTRNWWJSAAJCA	C(C(CO)(C(CO)(CO)O)N)=O
G3	CJRYZAFXEQBBBC	C(C(CO)(C(CN)(CO)O)N)=O
G3	JFFLKTNXBRMQMK	C(C(CO)(C(CC=O)O)N)=O
G3	ROKUUIAOJQBBFO	C(C(CO)(C(C=O)(C)O)N)=O
G3	FZBDPFQWGZJRMP	C(C(CO)(C(C(C)=O)O)N)=O
G3	RJAZOPJVTUZQDS	C(C(CO)(C(C)O)N)=O
