Generation	Smiles	Inchi	Path
G2	C(CC1C(C(C(O)O1)O)O)=O	FSEGFALCGGGEPO	"C(CC1C(C(C(O)O1)O)O)=O
└── C(C(C1C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(CC(C(C(CO)O1)O)O)=O	DBXNZGWNBVNDSO	"C1(CC(C(C(CO)O1)O)O)=O
└── C(C1C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(COC(CO)C(C1O)O)=O	OCLOLUFOLJIQDC	"C1(COC(CO)C(C1O)O)=O
└── C(C1C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(O)OC(CO)C(C1)O)=O	UHPMJDGOAZMIID	"C1(C(O)OC(CO)C(C1)O)=O
└── C(C1C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(C(CO)OC(C1)O)O)=O	PVKLTCFYNBLGMN	"C1(C(C(CO)OC(C1)O)O)=O
└── C(C1C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(C(O)OC(CO)C1)O)=O	IOFQXNNENHCUQL	"C1(C(C(O)OC(CO)C1)O)=O
└── C(C1C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(CO)OC(C(C1)O)O)=O	NWAQREDMTHFVFF	"C1(C(CO)OC(C(C1)O)O)=O
└── C(C1C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(CC(C(C(CO1)O)O)O)=O	HOHFQGCXQDHZJL	"C1(CC(C(C(CO1)O)O)O)=O
└── C1C(C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(COCC(C(C1O)O)O)=O	DBLLDNNAYQFXMT	"C1(COCC(C(C1O)O)O)=O
└── C1C(C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(O)OCC(C(C1)O)O)=O	FDUCWCLOCIPWJT	"C1(C(O)OCC(C(C1)O)O)=O
└── C1C(C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(C(COC(C1)O)O)O)=O	PATGLOACTPYBAI	"C1(C(C(COC(C1)O)O)O)=O
└── C1C(C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(C(O)OCC(C1)O)O)=O	KGUNYMYUWFWAAR	"C1(C(C(O)OCC(C1)O)O)=O
└── C1C(C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(COC(C(C1)O)O)O)=O	YYOBYHDYKCPMFE	"C1(C(COC(C(C1)O)O)O)=O
└── C1C(C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(C(C(O)OCC1)O)O)=O	KRKZFVZQYDKETD	"C1(C(C(C(O)OCC1)O)O)=O
└── C1C(C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(COC(C(C(C1)O)O)O)=O	QQYKOAFGQUCGEA	"C1(COC(C(C(C1)O)O)O)=O
└── C1C(C(C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(C(CO)O)O)(N)=CC=O	NTSRIUHAOCAOQN	"C(C(C(CO)O)O)(N)=CC=O
└── C(C(C(C(C(CO)O)O)N)O)=O
    ├── C(C(C(C(C(CO)O)O)O)O)=O
    └── N
"
G2	C(C(C(N)=CC(CO)O)O)=O	KGUHXLCVURNHSK	"C(C(C(N)=CC(CO)O)O)=O
└── C(C(C(C(C(CO)O)O)N)O)=O
    ├── C(C(C(C(C(CO)O)O)O)O)=O
    └── N
"
G2	C(C(C(CO)N)O)=O	KXMAOQJMLAAVJY	"C(C(C(CO)N)O)=O
├── C(C(C(CO)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CO)(C(C(C(CO)O)N)O)=O	ISGLIVNHDPLUFG	"C(CO)(C(C(C(CO)O)N)O)=O
├── C(CO)(C(C(C(CO)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CN)(C(C(C(CO)O)N)O)=O	KTLZNQVCIYBNIW	"C(CN)(C(C(C(CO)O)N)O)=O
├── C(CN)(C(C(C(CO)O)O)O)=O
│   ├── C(C(C(C(C(CO)O)O)O)O)=O
│   └── N
└── N
"
G2	C(C(CC(C(CO)O)N)=O)=O	CFIPTNRUUCHLRU	"C(C(CC(C(CO)O)N)=O)=O
├── C(C(CC(C(CO)O)O)=O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CC(C(C(CO)N)O)=O)=O	OGOOLELVTMLOGV	"C(CC(C(C(CO)N)O)=O)=O
├── C(CC(C(C(CO)O)O)=O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(CC(CO)N)=O)O)=O	CWKBVHWILPQTCU	"C(C(C(CC(CO)N)=O)O)=O
├── C(C(C(CC(CO)O)=O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CC(C=O)N)(C(CO)O)=O	NFNWRWYCUZAEON	"C(CC(C=O)N)(C(CO)O)=O
├── C(CC(C=O)O)(C(CO)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CC(C=O)O)(C(CN)O)=O	FDTPCSIZIQTINL	"C(CC(C=O)O)(C(CN)O)=O
├── C(CC(C=O)O)(C(CO)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(C(CCO)=O)O)N)=O	RBDNNFSBBBQPHT	"C(C(C(C(CCO)=O)O)N)=O
├── C(C(C(C=O)O)O)(CCO)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(C=O)O)O)(CCN)=O	YFKHBAKJIYEAQE	"C(C(C(C=O)O)O)(CCN)=O
├── C(C(C(C=O)O)O)(CCO)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CC(C(C(C=O)O)O)N)=O	ZROWQRUORDMNAS	"C(CC(C(C(C=O)O)O)N)=O
├── C(CC(C(C(C=O)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	"C1C(C(C(O)O1)O)O
└── C(C(C(CO)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C1C(C(C(CN)(O)O1)O)O)O	BCFSSHCZTMDDSA	"C(C1C(C(C(CN)(O)O1)O)O)O
└── C(CN)(C(C(C(CO)O)O)O)=O
    ├── C(C(C(C(C(CO)O)O)O)O)=O
    └── N
"
G2	C(C1(CC(C(CO)O1)O)O)=O	XCOLHFJYVWHMEU	"C(C1(CC(C(CO)O1)O)O)=O
└── C(C(CC(C(CO)O)O)=O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(CC1(C(C(CO1)O)O)O)=O	OJFNRRYMUBSATR	"C(CC1(C(C(CO1)O)O)O)=O
└── C(CC(C(C(CO)O)O)=O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(C1(CC(CO1)O)O)O)=O	XSOCZPWENAPSDW	"C(C(C1(CC(CO1)O)O)O)=O
└── C(C(C(CC(CO)O)=O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
