Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G5	C1(CC2(CO)C(C1C(O)O2)O)=O	WKHAGCCATSJWCM	10.4846	C7H10O5	174.052825	-1.6929	-0.284	5	3	86.99	-2.8217
G5	C(C1C(C(C=O)(CC1O)O)O)=O	UDDWZBFOJNIHRA	48.9942	C7H10O5	174.052825	-2.557	-0.368	5	3	94.83	-2.8874
G5	C(C1C(CC(C1(C=O)O)O)O)=O	KYUCBVBJBRGXTD	43.57	C7H10O5	174.052825	-2.557	-0.368	5	3	94.83	-1.9048
G5	C1(CC(CC1(C(C)O)O)O)=O	OUJCSIVHPXFRJU	400.637	C7H12O4	160.07356	-0.972	-0.714	4	3	77.76	1.7866
G5	C1(C(C(CC1(C(C)O)O)O)O)=O	COOAVZRCVLNGEU	435.574	C7H12O5	176.068475	-1.8241	-0.315	5	4	97.99	1.0919
G5	C(CO)(C1(CCC(C1O)=O)O)=O	VHKDHNWCZCEYMP	73.3334	C7H10O5	174.052825	-1.9299	-0.258	5	3	94.83	1.1105
G5	C1(C(C(C(CC1)(CO)O)O)=O)=O	BKEBIRLQXVHDIQ	757.587	C7H10O5	174.052825	-1.6977	-0.258	5	3	94.83	-8.6199
G5	C1(CC(CO)(C(C(C1)=O)O)O)=O	LZIQOLPTNPCZOX	427.956	C7H10O5	174.052825	-1.6977	-0.258	5	3	94.83	-8.5491
G5	C(C1CC(C(C(C1O)=O)O)O)=O	BOJQXZZVLZGXNF	459.522	C7H10O5	174.052825	-2.0824	-0.473	5	3	94.83	-2.6095
G5	C(CC1C(C(C(C1O)=O)O)O)=O	CCGWGJCPVBNZOY	54.7412	C7H10O5	174.052825	-1.97	-0.473	5	3	94.83	-1.7991
G5	C(C1C(C(C(C1CO)O)O)=O)=O	ACLFHBIGICMQGK	33.0161	C7H10O5	174.052825	-2.2297	-0.255	5	3	94.83	-2.2906
G5	C1(CC(CO)(CC(C1O)=O)O)=O	NHHUMCTWIZLYEO	60.8831	C7H10O5	174.052825	-1.6977	-0.258	5	3	94.83	-1.7415
G5	C1(C(C(C)(C(C(C1)=O)O)O)O)=O	CITALRDIXFXYKJ	943.687	C7H10O5	174.052825	-1.6231	-0.366	5	3	94.83	-2.5756
G5	C1(CC(C)(C(C(C1O)=O)O)O)=O	AIJWKSFJNXXYFG	954.174	C7H10O5	174.052825	-1.6231	-0.366	5	3	94.83	3.4001
G5	C1(C(C(C(C(C1C)O)O)O)=O)=O	GHISEPFMAJWNAS	480.419	C7H10O5	174.052825	-1.6518	-0.417	5	3	94.83	-1.9538
G5	C1(C(C(C(C(C1C)O)=O)O)O)=O	WMOYCWRKPBCNPI	81.7587	C7H10O5	174.052825	-1.6518	-0.417	5	3	94.83	1.9987
G5	C(C1(C(C)C(C(C1O)=O)O)O)=O	XNLYJDKFSDULCW	80.8282	C7H10O5	174.052825	-2.1264	-0.312	5	3	94.83	0.37075
G5	C1(C(C(CO)(C(C1C)O)O)O)=O	RDSIBPXVWVUWAW	85.8998	C7H12O5	176.068475	-1.9141	-0.097	5	4	97.99	1.5648
G5	C1(C(C(CO)(C(C)C1O)O)O)=O	JZGHDLASJJLLFL	90.5978	C7H12O5	176.068475	-1.9141	-0.097	5	4	97.99	2.4033
G5	C1(C(C(C(C1CCO)O)O)=O)=O	JTXQTCQACVAFGD	59.6463	C7H10O5	174.052825	-1.614	-0.309	5	3	94.83	-5.4141
G5	C1(C(C(C(C1O)O)CCO)O)=O	UVCSWJBEXSGQIF	73.1835	C7H12O5	176.068475	-1.7577	-0.258	5	4	97.99	-1.5151
G5	C1(C(C(C(C)C1O)O)O)=O	IPEVJGQOIQPIEY	394.586	C6H10O4	146.05791	-1.2854	-0.495	4	3	77.76	1.6822
G5	C1(C(CC(C1C(CO)=O)O)O)=O	ODHMXURZJUCPGU	28.4044	C7H10O5	174.052825	-1.9586	-0.309	5	3	94.83	1.7965
