Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL
G3	C(C(C(CO)(C)O)C(C=O)O)=O	UFDQVKKZIJVGJA	176.068473484	C7H12O5	7	12	5	-2.309	-0.174	5	3	94.83	-5.1154	5	0.5190823456321972
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU	164.068473484	C6H12O5	6	12	5	-2.315	0.201	5	4	97.99	-5.2062	5	0.9342033464806009
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG	164.068473484	C6H12O5	6	12	5	-2.2503	-0.012	5	4	97.99	-0.13089	5	0.9319384792383887
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	150.05282342	C5H10O5	5	10	5	-2.7694	0.471	5	4	97.99	-4.2059	5	1.3128517714458563
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	150.05282342	C5H10O5	5	10	5	-2.6096	0.366	5	4	97.99	1.085	5	1.312851771445856
G3	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	150.05282342	C5H10O5	5	10	5	-2.7907	0.202	5	4	97.99	-2.8744	5	1.3140384497696014
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-5.3043	5	0.7943070996310865
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	162.05282342	C6H10O5	6	10	5	-2.5085	0.099	5	3	94.83	-1.6738	5	0.8999956378396644
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	162.05282342	C6H10O5	6	10	5	-2.6224	-0.122	5	3	94.83	-0.55603	5	0.7920422323888741
G3	C(C(C(C)(C(CO)O)O)O)=O	VTPHIABIXGEURA	164.068473484	C6H12O5	6	12	5	-2.4101	0.093	5	4	97.99	-0.77395	5	0.9319384792383887
